TargetNb	targetID	Chromosome	Start	End
59	Control_g144.13	GL349627	1761275	1761501
60	Control_g144.12	GL349627	1761944	1762170
61	Control_g144.4	GL349627	1762253	1762386
62	Control_g144.5	GL349627	1762463	1762602
63	Control_g144.6	GL349627	1763650	1763806
64	Control_g144.10	GL349627	1765822	1766021
65	Control_g144.1	GL349627	1766077	1766140
66	Control_g144.3	GL349627	1766367	1766482
67	P450_g36.1	GL349628	1340648	1341542
68	P450_g36.3	GL349628	1342540	1342764
69	P450_g36.2	GL349628	1343706	1343957
70	P450_g36.4	GL349628	1344056	1344228
71	Control_g183.6	GL349629	438286	438511
72	Control_g183.4	GL349629	438640	438820
73	Control_g183.2	GL349629	438896	439052
74	Control_g183.3	GL349629	439233	439390
75	Control_g183.7	GL349629	440883	441200
76	Control_g183.5	GL349629	441259	441477
77	Control_g183.1	GL349629	441535	441618
78	Control_g183.8	GL349629	441700	442558
79	Control_g181.1	GL349629	1799426	1799953
80	Gr_g30.4	GL349630	904151	904210
81	Gr_g30.2	GL349630	904395	904484
82	Gr_g30.3	GL349630	904722	904790
83	Gr_g30.1	GL349630	905348	906331
84	PMT_243	GL349630	907645	907695
85	Control_g180.4	GL349632	313834	314012
86	Control_g180.3	GL349632	314646	314780
87	Control_g180.2	GL349632	314931	315056
88	Control_g180.1	GL349632	315685	315772
89	PMT_589	GL349632	1182547	1182597
90	PMT_590	GL349632	1182640	1182690
91	PMT_591	GL349632	1182742	1182792
92	PMT_592	GL349632	1183125	1183175
93	PMT_593	GL349632	1183699	1183749
94	PMT_594	GL349632	1184581	1184631
95	PMT_595	GL349632	1184637	1184687
96	PMT_596	GL349632	1185238	1185288
97	Or_g65.1	GL349632	1185346	1186087
98	Or_g65.5	GL349632	1186918	1187005
99	Or_g65.4	GL349632	1190431	1190530
100	Or_g65.3	GL349632	1191315	1191440
101	Or_g65.6	GL349632	1193353	1193418
102	Or_g61.6	GL349632	1204905	1204982
103	Or_g61.2	GL349632	1205501	1205660
104	Or_g61.4	GL349632	1210547	1210646
105	Or_g61.5	GL349632	1211622	1211718
106	Or_g71.1	GL349633	378853	379569
107	Or_g64.2	GL349633	443802	443960
108	PMT_588	GL349633	505538	505588
109	Or_g63.1	GL349633	506867	507608
110	Or_g63.5	GL349633	508433	508520
111	Or_g63.4	GL349633	511184	511283
112	Or_g63.2	GL349633	512363	512521
113	Or_g63.6	GL349633	513707	513772
114	Or_g62.1	GL349633	557133	557875
115	Or_g62.5	GL349633	561657	561744
116	Or_g62.4	GL349633	563719	563818
117	Or_g62.6	GL349633	566929	566985
118	P450_g28.4	GL349633	1252187	1252407
119	P450_g28.5	GL349633	1252675	1252869
120	IR_g1.2	GL349634	1612268	1612615
121	IR_g1.1	GL349634	1613781	1614320
122	PMT_639	GL349634	1614320	1614848
123	Control_g92.1	GL349635	106999	107159
124	Control_g92.3	GL349635	108006	108206
125	Control_g92.2	GL349635	110023	110188
126	Control_g92.4	GL349635	110763	110988
127	Control_g92.5	GL349635	120593	121464
128	PMT_499	GL349635	1451565	1451615
129	PMT_500	GL349635	1451625	1451675
130	PMT_501	GL349635	1451733	1451783
131	PMT_502	GL349635	1451837	1451887
132	PMT_503	GL349635	1453464	1453514
133	PMT_504	GL349635	1453719	1453769
134	PMT_505	GL349635	1453815	1453865
135	Or_g38.1	GL349635	1454111	1454843
136	Or_g38.5	GL349635	1455051	1455141
137	Or_g38.4	GL349635	1455340	1455439
138	Or_g38.3	GL349635	1456093	1456212
139	Or_g38.2	GL349635	1456369	1456527
140	Or_g38.6	GL349635	1457182	1457247
141	PMT_506	GL349636	664917	664967
142	PMT_507	GL349636	664997	665047
143	PMT_509	GL349636	665469	665519
144	PMT_524	GL349636	665604	665654
145	PMT_510	GL349636	666618	666668
146	PMT_511	GL349636	666867	666917
147	PMT_512	GL349636	666949	666999
148	PMT_514	GL349636	667423	667473
149	PMT_523	GL349636	680169	680219
150	PMT_522	GL349636	680256	680306
151	PMT_515	GL349636	682119	682169
152	PMT_516	GL349636	682199	682249
153	PMT_517	GL349636	685050	685100
154	PMT_518	GL349636	685246	685296
155	Or_g39.4	GL349636	687807	687909
156	Or_g39.2	GL349636	690309	690467
157	PMT_521	GL349636	694149	694199
158	Control_g94.8	GL349637	1328558	1329192
159	Control_g94.1	GL349637	1332443	1332498
160	Control_g94.3	GL349637	1337769	1337914
161	Control_g94.6	GL349637	1339729	1339951
162	Control_g94.5	GL349637	1344982	1345149
163	Control_g94.2	GL349637	1345351	1345441
164	Control_g94.4	GL349637	1346365	1346526
165	P450_g62.11	GL349637	1359870	1359948
166	P450_g62.2	GL349637	1365756	1366014
167	P450_g62.9	GL349637	1373469	1373560
168	Control_g25.8	GL349637	1907595	1908081
169	Control_g25.5	GL349637	1908193	1908428
170	Control_g25.7	GL349637	1910370	1910629
171	Control_g25.1	GL349637	1910721	1910838
172	Control_g25.3	GL349637	1912237	1912371
173	Control_g25.6	GL349637	1912509	1912754
174	Control_g25.4	GL349637	1912931	1913094
175	Control_g25.2	GL349637	1913598	1913727
176	Control_g120.1	GL349638	573892	573997
177	Control_g120.2	GL349638	574050	574176
178	Control_g120.3	GL349638	578239	578386
179	Control_g120.4	GL349638	579236	579400
180	Control_g120.5	GL349638	579484	579663
181	Control_g15.1	GL349638	1711385	1711649
182	Control_g15.2	GL349638	1716892	1718374
183	Control_g130.5	GL349638	2011098	2011234
184	Control_g130.4	GL349638	2011293	2011420
185	Control_g130.3	GL349638	2011506	2011619
186	Control_g130.12	GL349638	2011828	2012054
187	Control_g130.8	GL349638	2014235	2014409
188	Control_g130.6	GL349638	2015510	2015653
189	Control_g130.1	GL349638	2016014	2016036
190	Control_g130.2	GL349638	2016893	2016939
191	Control_g130.7	GL349638	2016993	2017154
192	Control_g130.11	GL349638	2017492	2017695
193	Control_g130.9	GL349638	2018642	2018819
194	Control_g130.10	GL349638	2018901	2019092
195	PMT_547	GL349639	1433256	1433306
196	PMT_548	GL349639	1433555	1433605
197	PMT_549	GL349639	1434250	1434300
198	PMT_550	GL349639	1434310	1434360
199	PMT_551	GL349639	1434438	1434488
200	PMT_552	GL349639	1434547	1434597
201	PMT_553	GL349639	1435104	1435154
202	PMT_554	GL349639	1436061	1436111
203	Or_g47.1	GL349639	1436184	1436940
204	Or_g67.5	GL349639	2081704	2081781
205	Or_g67.4	GL349639	2083239	2083343
206	Or_g67.3	GL349639	2083712	2083820
207	Or_g67.1	GL349639	2084384	2085066
208	PMT_603	GL349639	2085324	2085374
209	PMT_602	GL349639	2085466	2085516
210	PMT_601	GL349639	2085636	2085686
211	PMT_600	GL349639	2086247	2086297
212	PMT_599	GL349639	2086321	2086371
213	PMT_597	GL349639	2088077	2088127
214	Or_g7.3	GL349639	2093943	2094051
215	Or_g7.1	GL349639	2094678	2095330
216	Control_g106.3	GL349640	436699	436838
217	Control_g106.6	GL349640	436921	437184
218	Control_g106.5	GL349640	438884	439140
219	Control_g106.4	GL349640	439259	439506
220	Control_g106.2	GL349640	440183	440228
221	Control_g159.2	GL349643	362355	362465
222	Control_g159.4	GL349643	363019	363145
223	Control_g159.5	GL349643	364050	364212
224	Control_g159.7	GL349643	367234	367442
225	Control_g159.6	GL349643	368143	368339
226	Control_g159.1	GL349643	369056	369116
227	Control_g159.3	GL349643	369801	369922
228	Control_g169.7	GL349645	324280	324779
229	Gr_g41.3	GL349645	528158	528271
230	Control_g149.9	GL349646	504744	505003
231	Control_g149.5	GL349646	505063	505225
232	Control_g149.6	GL349646	510767	510944
233	Control_g149.4	GL349646	511010	511124
234	Control_g149.3	GL349646	511193	511295
235	Control_g149.7	GL349646	511992	512215
236	Control_g149.1	GL349646	512314	512334
237	P450_g12.3	GL349647	208299	208501
238	P450_g12.2	GL349647	211254	211462
239	P450_g12.9	GL349647	211570	211682
240	P450_g12.11	GL349647	211788	211878
241	P450_g12.5	GL349647	212114	212296
242	P450_g12.12	GL349647	212412	212481
243	P450_g12.8	GL349647	212886	213012
244	P450_g12.4	GL349647	213084	213276
245	P450_g12.10	GL349647	213354	213463
246	P450_g12.13	GL349647	213816	213884
247	P450_g12.7	GL349647	213963	214135
248	P450_g12.6	GL349647	214574	214752
249	P450_g12.1	GL349647	215281	215718
250	Control_g139.3	GL349647	525532	527402
251	Control_g139.2	GL349647	527493	528355
252	Control_g139.1	GL349647	530652	530758
253	Control_g145.8	GL349648	26462	26656
254	Control_g145.10	GL349648	26731	26989
255	Control_g145.9	GL349648	27062	27274
256	Control_g145.3	GL349648	27877	27967
257	Control_g145.6	GL349648	28927	29065
258	Control_g145.5	GL349648	30813	30933
259	Control_g145.2	GL349648	31076	31137
260	Control_g145.12	GL349648	31202	32292
261	Control_g145.7	GL349648	33579	33747
262	Control_g145.4	GL349648	33822	33930
263	Control_g145.1	GL349648	34001	34040
264	P450_g49.2	GL349648	711784	712035
265	P450_g49.5	GL349648	712102	712253
266	P450_g49.3	GL349648	712325	712530
267	P450_g49.1	GL349648	712679	712936
268	P450_g49.7	GL349648	713001	713121
269	P450_g49.6	GL349648	713203	713344
270	P450_g49.4	GL349648	713434	713627
271	P450_g65.4	GL349651	118810	118979
272	P450_g65.2	GL349651	119105	119356
273	P450_g65.3	GL349651	120503	120724
274	P450_g65.1	GL349651	120955	121831
275	Control_g172.5	GL349653	1019037	1019593
276	Control_g172.1	GL349653	1024126	1024212
277	Control_g172.2	GL349653	1024319	1024435
278	Control_g172.3	GL349653	1038815	1038931
279	Control_g172.4	GL349653	1039845	1039988
280	P450_g9.8	GL349655	40751	40809
281	P450_g9.4	GL349655	40937	41060
282	P450_g9.6	GL349655	42126	42210
283	P450_g9.5	GL349655	42352	42461
284	P450_g9.7	GL349655	43734	43802
285	P450_g9.3	GL349655	43879	44047
286	P450_g9.1	GL349655	44825	45004
287	P450_g9.2	GL349655	46681	46856
288	P450_g30.9	GL349655	69831	69902
289	P450_g30.7	GL349655	71768	71858
290	P450_g30.2	GL349655	73562	73750
291	P450_g30.11	GL349655	74097	74163
292	P450_g30.5	GL349655	74230	74356
293	P450_g30.8	GL349655	77147	77228
294	P450_g30.6	GL349655	77315	77421
295	P450_g30.10	GL349655	77985	78053
296	P450_g30.4	GL349655	80508	80676
297	P450_g30.3	GL349655	81659	81838
298	P450_g30.1	GL349655	82882	83084
299	P450_g29.8	GL349655	84167	84188
300	P450_g29.1	GL349655	84715	84932
301	P450_g29.6	GL349655	103006	103087
302	P450_g29.5	GL349655	103223	103329
303	P450_g29.7	GL349655	103411	103479
304	P450_g29.4	GL349655	103714	103882
305	P450_g29.3	GL349655	103945	104130
306	P450_g29.2	GL349655	104221	104426
307	Control_g103.12	GL349658	604827	605840
308	Control_g103.4	GL349658	608059	608201
309	Control_g103.7	GL349658	610898	611087
310	Control_g103.3	GL349658	611596	611725
311	Control_g103.9	GL349658	612721	612914
312	Control_g103.6	GL349658	616293	616461
313	Control_g103.5	GL349658	618587	618747
314	Control_g103.8	GL349658	620662	620855
315	Control_g103.2	GL349658	620946	621025
316	Control_g103.10	GL349658	621544	621755
317	Control_g103.11	GL349658	628961	629187
318	Control_g103.1	GL349658	629262	629316
319	Control_g20.2	GL349658	830966	831106
320	Control_g20.3	GL349658	832716	832864
321	Control_g20.1	GL349658	832929	833054
322	Control_g20.4	GL349658	833125	833596
323	PMT_485	GL349658	851921	851971
324	PMT_486	GL349658	852375	852425
325	PMT_487	GL349658	854093	854143
326	Or_g34.4	GL349658	854774	854911
327	Or_g34.1	GL349658	856037	856402
328	Or_g34.2	GL349658	857330	857571
329	Or_g34.6	GL349658	859134	859233
330	Or_g34.5	GL349658	859336	859440
331	Or_g34.3	GL349658	860540	860749
332	Control_g73.4	GL349658	912428	912650
333	Control_g73.2	GL349658	915301	915430
334	Control_g73.1	GL349658	927504	927579
335	Control_g73.5	GL349658	963594	963858
336	Control_g73.3	GL349658	963980	964193
337	Control_g13.5	GL349658	1065823	1066801
338	Control_g13.3	GL349658	1069463	1069638
339	Control_g13.2	GL349658	1077706	1077870
340	Control_g13.1	GL349658	1077937	1078043
341	Control_g13.4	GL349658	1078116	1078924
342	Control_g186.1	GL349658	1121429	1121613
343	Control_g186.3	GL349658	1121997	1122242
344	Control_g186.2	GL349658	1122440	1122651
345	Or_g54.1	GL349661	886075	886816
346	Control_g72.6	GL349663	118227	119965
347	Control_g72.2	GL349663	121300	121344
348	Control_g72.1	GL349663	121406	121447
349	P450_g54.2	GL349663	755312	755524
350	P450_g54.3	GL349663	755599	755805
351	P450_g54.6	GL349663	755880	756012
352	P450_g54.5	GL349663	756070	756256
353	P450_g54.4	GL349663	756340	756527
354	P450_g54.1	GL349663	757635	757860
355	P450_g54.7	GL349663	757940	758033
356	Control_g12.1	GL349666	378065	378132
357	Control_g12.2	GL349666	378371	379964
358	OBP_g3.6	GL349667	921174	921215
359	OBP_g3.2	GL349667	922311	922413
360	OBP_g3.1	GL349667	923134	923285
361	OBP_g3.5	GL349667	924585	924637
362	OBP_g3.4	GL349667	932998	933055
363	OBP_g3.3	GL349667	934251	934316
364	PMT_76	GL349667	934369	934419
365	PMT_75	GL349667	934880	934945
366	PMT_73	GL349667	935167	935217
367	PMT_72	GL349667	935400	935450
368	PMT_71	GL349667	935746	935796
369	PMT_70	GL349667	935844	935894
370	PMT_69	GL349667	936099	936149
371	Gr_g73.5	GL349667	975161	975232
372	Gr_g73.4	GL349667	975381	975473
373	Gr_g73.3	GL349667	983153	983272
374	Control_g49.1	GL349668	744314	744384
375	Control_g49.4	GL349668	744463	744665
376	Control_g49.5	GL349668	744742	745101
377	P450_g2.1	GL349670	862801	863745
378	P450_g2.4	GL349670	864614	864838
379	P450_g2.3	GL349670	868248	868499
380	P450_g2.5	GL349670	869384	869556
381	P450_g58.10	GL349671	501710	501778
382	P450_g58.3	GL349671	506059	506247
383	P450_g58.8	GL349671	506385	506475
384	P450_g58.6	GL349671	507301	507410
385	P450_g58.2	GL349671	507484	507700
386	P450_g58.1	GL349671	514402	514679
387	Or_g72.4	GL349672	57708	57807
388	Or_g74.3	GL349672	116976	117101
389	Or_g74.4	GL349672	117268	117367
390	Or_g74.5	GL349672	117799	117889
391	Or_g74.1	GL349672	119265	120009
392	Or_g72.3	GL349672	143443	143568
393	Or_g72.6	GL349672	144511	144576
394	Or_g19.1	GL349677	1260393	1261097
395	Control_g129.14	GL349679	1491536	1492217
396	Control_g129.8	GL349679	1492836	1493045
397	Control_g129.9	GL349679	1494035	1494250
398	Control_g129.10	GL349679	1494758	1494983
399	Control_g129.6	GL349679	1495737	1495930
400	Control_g129.11	GL349679	1500378	1500617
401	Control_g129.4	GL349679	1500687	1500851
402	Control_g129.12	GL349679	1501540	1501821
403	Control_g129.7	GL349679	1503586	1503789
404	Control_g129.3	GL349679	1503858	1504022
405	Control_g129.5	GL349679	1504159	1504332
406	Control_g129.1	GL349679	1508229	1508357
407	Control_g129.2	GL349679	1509946	1510086
408	Control_g129.13	GL349679	1514564	1514978
409	Or_g41.1	GL349682	88688	89486
410	Or_g41.4	GL349682	89949	90051
411	Or_g41.3	GL349682	91101	91226
412	Or_g41.2	GL349682	92126	92284
413	Or_g41.6	GL349682	95622	95687
414	Control_g86.6	GL349682	198429	198728
415	Control_g86.2	GL349682	198816	198923
416	Control_g86.3	GL349682	201593	201717
417	Control_g86.7	GL349682	201777	202087
418	Control_g86.1	GL349682	202155	202201
419	Control_g86.4	GL349682	202278	202411
420	Control_g86.5	GL349682	202539	202827
421	PMT_83	GL349682	321032	321082
422	PMT_84	GL349682	322316	322366
423	CSP_g4.1	GL349682	323100	323292
424	CSP_g4.2	GL349682	323565	323743
425	Control_g88.5	GL349684	717225	717985
426	Control_g88.2	GL349684	718558	718678
427	Control_g88.3	GL349684	720111	720240
428	Control_g88.1	GL349684	720345	720426
429	ApisSNMP_g2.1	GL349689	718828	719150
430	ApisSNMP_g2.5	GL349689	720088	720215
431	ApisSNMP_g2.6	GL349689	720282	720405
432	ApisSNMP_g2.10	GL349689	720486	720542
433	ApisSNMP_g2.7	GL349689	720615	720744
434	ApisSNMP_g2.2	GL349689	721175	721407
435	ApisSNMP_g5.2	GL349689	721813	722076
436	PMT_653	GL349689	722076	722441
437	ApisSNMP_g2.4	GL349689	723387	723527
438	ApisSNMP_g2.3	GL349689	723708	723887
439	ApisSNMP_g2.8	GL349689	724827	724917
440	ApisSNMP_g2.9	GL349689	745686	745747
441	PMT_651	GL349689	745747	746247
442	PMT_470	GL349690	291586	291636
443	PMT_471	GL349690	292301	292351
444	PMT_472	GL349690	292422	292472
445	PMT_473	GL349690	293285	293335
446	PMT_474	GL349690	293625	293675
447	PMT_475	GL349690	293836	293886
448	PMT_476	GL349690	294040	294090
449	PMT_477	GL349690	294132	294182
450	Or_g31.1	GL349690	294508	295243
451	Or_g31.5	GL349690	295949	296021
452	Or_g31.4	GL349690	297262	297361
453	Or_g31.3	GL349690	298845	298964
454	Or_g31.2	GL349690	299037	299195
455	Or_g31.6	GL349690	299304	299366
456	PS_g2.2	GL349690	1082232	1082379
457	Control_g27.12	GL349691	218571	218839
458	Control_g27.2	GL349691	219387	219471
459	Control_g27.5	GL349691	221270	221413
460	Control_g27.9	GL349691	221850	222045
461	Control_g27.11	GL349691	222147	222402
462	Control_g27.8	GL349691	222876	223071
463	Control_g27.10	GL349691	224173	224414
464	Control_g27.4	GL349691	224482	224607
465	Control_g27.6	GL349691	224884	225041
466	Control_g27.7	GL349691	225119	225298
467	Control_g27.3	GL349691	226888	226986
468	Control_g27.1	GL349691	227075	227152
469	Control_g199.8	GL349693	965193	965772
470	Control_g200.6	GL349693	1089946	1090286
471	Control_g200.1	GL349693	1091612	1091734
472	OBP_g5.2	GL349694	170232	170329
473	OBP_g5.6	GL349694	171629	171664
474	OBP_g5.5	GL349694	172507	172559
475	OBP_g5.4	GL349694	173480	173537
476	OBP_g5.3	GL349694	178024	178089
477	PMT_23	GL349694	178143	178193
478	PMT_21	GL349694	178531	178581
479	PMT_20	GL349694	178695	178745
480	PMT_19	GL349694	179315	179365
481	PMT_18	GL349694	179670	179720
482	PMT_17	GL349694	180038	180088
483	Control_g5.2	GL349698	711884	712009
484	Control_g5.1	GL349698	712114	712214
485	Control_g5.4	GL349698	712734	712866
486	Control_g5.5	GL349698	713296	713439
487	Control_g5.6	GL349698	713537	713719
488	Control_g5.3	GL349698	713782	713910
489	Control_g5.7	GL349698	714054	714318
490	Control_g5.8	GL349698	714318	714593
491	Control_g97.8	GL349698	1966746	1967130
492	Control_g97.5	GL349698	1967208	1967411
493	Control_g97.7	GL349698	1967516	1967799
494	Control_g97.4	GL349698	1967888	1968075
495	Control_g97.2	GL349698	1968138	1968294
496	Control_g97.3	GL349698	1968677	1968848
497	Control_g97.6	GL349698	1968910	1969128
498	Control_g97.1	GL349698	1969196	1969264
499	Control_g69.6	GL349701	1009742	1009904
500	Control_g69.4	GL349701	1010076	1010196
501	Control_g69.2	GL349701	1012436	1012539
502	Control_g69.9	GL349701	1012612	1012814
503	Control_g69.13	GL349701	1012883	1013316
504	Control_g69.3	GL349701	1013375	1013481
505	Control_g69.7	GL349701	1013553	1013715
506	Control_g69.8	GL349701	1013820	1014012
507	Control_g69.5	GL349701	1014162	1014314
508	Control_g69.1	GL349701	1014374	1014467
509	Control_g69.10	GL349701	1014519	1014723
510	Control_g69.12	GL349701	1014797	1015121
511	Control_g69.11	GL349701	1016200	1016413
512	Control_g133.3	GL349702	282782	283118
513	Control_g133.4	GL349702	283162	283557
514	Control_g133.2	GL349702	283628	283684
515	PMT_318	GL349704	179342	179392
516	PMT_319	GL349704	180626	180676
517	PMT_320	GL349704	180911	180961
518	PMT_321	GL349704	181467	181517
519	Gr_g56.1	GL349704	182176	182497
520	Gr_g56.5	GL349704	182560	182736
521	Gr_g56.2	GL349704	184877	185158
522	Gr_g56.4	GL349704	185671	185851
523	Gr_g56.3	GL349704	186904	187105
524	Gr_g56.6	GL349704	187179	187268
525	Gr_g56.7	GL349704	187365	187439
526	PMT_369	GL349706	574061	574138
527	PMT_371	GL349706	574652	574702
528	PMT_373	GL349706	575449	575499
529	PMT_374	GL349706	576031	576081
530	PMT_375	GL349706	576102	576152
531	PMT_376	GL349706	576230	576280
532	Or_g2.1	GL349706	576289	576947
533	Or_g2.3	GL349706	579469	579577
534	P450_g16.7	GL349706	601736	601780
535	P450_g16.5	GL349706	606143	606378
536	P450_g16.3	GL349706	606991	607285
537	P450_g16.6	GL349706	611756	611948
538	P450_g16.4	GL349706	613357	613623
539	P450_g16.2	GL349706	614688	615062
540	P450_g19.1	GL349707	508197	508401
541	P450_g19.7	GL349707	508516	508625
542	P450_g19.9	GL349707	518901	518991
543	P450_g19.3	GL349707	521473	521661
544	P450_g19.11	GL349707	521728	521797
545	P450_g19.6	GL349707	521879	522005
546	P450_g19.10	GL349707	522082	522163
547	P450_g19.8	GL349707	522279	522385
548	P450_g19.12	GL349707	522501	522569
549	P450_g19.5	GL349707	523770	523938
550	P450_g19.4	GL349707	523999	524184
551	P450_g19.2	GL349707	524268	524461
552	Control_g78.4	GL349707	530386	531639
553	Control_g78.2	GL349707	531722	532013
554	Control_g78.1	GL349707	534740	534818
555	Control_g78.3	GL349707	537317	537999
556	Gr_g62.2	GL349708	310251	310531
557	Gr_g62.1	GL349708	310531	312321
558	Gr_g62.5	GL349708	312321	312389
559	Gr_g62.4	GL349708	312888	312980
560	Gr_g62.3	GL349708	313127	313249
561	Gr_g63.2	GL349708	331146	331426
562	Gr_g63.1	GL349708	331903	332539
563	Gr_g63.4	GL349708	332739	332807
564	Control_g193.1	GL349708	482302	482411
565	Control_g193.4	GL349708	482739	482859
566	Or_g50.6	GL349710	35639	35710
567	Or_g50.2	GL349710	37124	37282
568	Or_g50.3	GL349710	37733	37858
569	Or_g50.5	GL349710	38453	38546
570	Or_g50.1	GL349710	38925	39666
571	PMT_581	GL349710	40025	40075
572	PMT_580	GL349710	40114	40164
573	PMT_579	GL349710	40425	40475
574	PMT_578	GL349710	40574	40624
575	PMT_577	GL349710	40790	40840
576	PMT_575	GL349710	40912	40962
577	PMT_572	GL349710	42861	42911
578	PMT_571	GL349710	43016	43066
579	P450_g24.3	GL349710	509744	510093
580	P450_g24.4	GL349710	511015	511351
581	P450_g24.1	GL349710	511433	511890
582	P450_g24.2	GL349710	517876	518287
583	Control_g55.3	GL349711	202416	202973
584	Control_g191.2	GL349715	316795	316846
585	Control_g191.7	GL349715	316919	317109
586	Control_g191.5	GL349715	317187	317352
587	Control_g191.6	GL349715	317429	317617
588	Control_g191.9	GL349715	320474	320775
589	Control_g191.4	GL349715	321332	321490
590	Control_g191.3	GL349715	321561	321706
591	Control_g191.8	GL349715	322404	322650
592	Control_g191.1	GL349715	322724	322771
593	Or_g16.6	GL349715	940909	940977
594	Or_g16.2	GL349715	941506	941664
595	Or_g16.3	GL349715	943501	943620
596	Or_g16.4	GL349715	943690	943789
597	Or_g16.5	GL349715	943955	944039
598	Or_g16.1	GL349715	944135	944846
599	PMT_444	GL349715	945661	945711
600	PMT_443	GL349715	945948	946002
601	PMT_441	GL349715	946113	946163
602	Or_g17.2	GL349715	951710	951868
603	Or_g17.3	GL349715	952180	952296
604	Or_g17.4	GL349715	952358	952457
605	Or_g17.5	GL349715	953079	953157
606	Or_g17.1	GL349715	953264	953990
607	Control_g22.3	GL349718	161836	162205
608	Control_g22.2	GL349718	162744	162949
609	Control_g22.1	GL349718	163149	163243
610	Control_g22.4	GL349718	164666	165524
611	PMT_481	GL349721	427291	427341
612	PMT_482	GL349721	427723	427773
613	PMT_483	GL349721	427831	427881
614	PMT_484	GL349721	428338	428388
615	Or_g33.1	GL349721	429314	430094
616	Or_g33.6	GL349721	430156	430207
617	Or_g33.4	GL349721	430539	430638
618	Or_g33.3	GL349721	430764	430883
619	Or_g33.2	GL349721	430953	431111
620	Or_g33.5	GL349721	431242	431310
621	PMT_496	GL349721	865071	865121
622	Or_g37.1	GL349721	866176	866929
623	Or_g37.5	GL349721	868049	868130
624	Or_g37.4	GL349721	868475	868574
625	Or_g37.3	GL349721	868662	868778
626	Or_g37.2	GL349721	870045	870203
627	Or_g37.6	GL349721	870947	871018
628	Control_g171.13	GL349722	878935	879383
629	Control_g171.9	GL349722	879928	880088
630	Control_g171.7	GL349722	881538	881672
631	Control_g171.11	GL349722	882065	882269
632	Control_g171.8	GL349722	882344	882484
633	Control_g171.1	GL349722	884974	885054
634	Control_g171.4	GL349722	890091	890195
635	Control_g171.6	GL349722	892923	893047
636	Control_g171.5	GL349722	893480	893601
637	Control_g171.14	GL349722	894042	894506
638	Control_g136.7	GL349723	333882	334179
639	Control_g136.3	GL349723	335834	336000
640	Control_g136.1	GL349723	336091	336187
641	Control_g136.4	GL349723	338158	338331
642	Control_g136.5	GL349723	339632	339807
643	Control_g136.2	GL349723	341193	341291
644	Control_g136.6	GL349723	343613	343795
645	Control_g68.3	GL349723	559222	560236
646	Control_g68.1	GL349723	560754	561263
647	P450_g42.2	GL349723	824772	825020
648	P450_g42.9	GL349723	828223	828354
649	P450_g42.10	GL349723	831409	831540
650	P450_g42.3	GL349723	834119	834317
651	P450_g42.8	GL349723	835269	835425
652	P450_g42.7	GL349723	836527	836693
