	Cytisus	Lathyrus	L.corn.	L.ped.	Medicago	Ononis	Pisum	Trifolium	MeanDecreaseAccuracy	MeanDecreaseGini
PMT_377_1_1	0.0015	5e-04	0.0025	0.0275	0.0084	0.0025	0.0042	0.0101	0.0087	0.9635
Control_g190_4_2	0.001	0.0018	0.0017	0.0144	0.003	0.0172	0.0183	0.0288	0.0114	0.9131
Or_g74_1_14	0.0039	0.0735	0.0064	0.0059	0.006	0.0056	0.0078	0.004	0.0125	0.888
Gr_g36_4_1	0.0052	0.0744	0.0071	0.0063	0.0058	0.0054	0.006	0.0046	0.0125	0.8804
Control_g154_1_1	0.0042	2e-04	0.003	0.0051	0.0094	0.0021	0.0071	0.0376	0.0108	0.8802
Control_g82_17_2	0.0104	0.0186	0.0262	0.0093	0.0126	0.0062	0.0088	0.0077	0.0121	0.8646
Control_g188_9_4	0.0637	1e-04	0.0016	-1e-04	0.0138	0.0103	0.0094	0.0063	0.0095	0.8128
Control_g49_4_1	0.0045	0.0466	0.0109	0.0058	0.0031	-0.0023	0.0053	0.0047	0.0087	0.7821
P450_g11_4_4	0.0047	0.0678	0.0067	0.0044	0.0041	0.0063	0.0052	0.004	0.0111	0.7322
PMT_501_1_1	0.003	0.001	0.0038	0.0033	0.0044	0.0297	0.0041	0.0027	0.006	0.7277
PMT_642_1_10	0.0041	0.0676	0.0049	0.0045	0.0048	0.0062	0.0048	0.0034	0.0108	0.7266
PMT_359_1_1	0.0044	0.0665	0.0047	0.0052	0.0049	0.0061	0.005	0.0037	0.0108	0.7221
Or_g54_1_14	0.0055	0.0672	0.0054	0.0042	0.0057	0.006	0.0059	0.0039	0.0111	0.7213
Gr_g42_5_1	0.0038	0.0637	0.0053	0.0021	0.0054	0.0064	0.0063	0.0051	0.0107	0.7174
PMT_649_1_2	0.0036	0.0666	0.0048	0.0047	0.0056	0.0054	0.0063	0.0034	0.011	0.7135
Gr_g73_5_1	0.004	0.0654	0.0052	0.0047	0.0055	0.0053	0.0059	0.0033	0.0109	0.7093
P450_g24_1_9	0.0906	0	0.0018	0.0025	0.0028	9e-04	0.0023	0.0021	0.0062	0.6812
Control_g132_1_2	0.0034	0.0466	0.0045	0.0045	7e-04	0.0043	0.0052	0.0028	0.0073	0.6357
Control_g133_3_3	-0.0015	8e-04	0.0054	9e-04	0.0201	0.0011	0.0121	0.0147	0.0091	0.6028
Gr_g50_3_1	0.0665	1e-04	0.0023	0.0021	-0.0015	0.0013	0.0024	0.0018	0.0039	0.5733
IR_g8_1_12	0.0049	0	0	0.0138	0.012	0.0041	0.0102	-0.0017	0.0062	0.5509
PS_g2_2_3	-0.0028	0.0019	0.005	0.005	0.0026	8e-04	0.0041	0.0139	0.0048	0.5456
Control_g72_2_1	0.0033	0.0119	-0.0013	0.0024	0.0011	0.0017	0.0083	0.0052	0.0036	0.5088
PMT_343_1_1	0.0371	0	6e-04	0.0011	0.0016	2e-04	8e-04	6e-04	0.0026	0.4057
PMT_621_1_1	0.0018	0	-6e-04	-0.0014	0.0014	8e-04	0.0068	0.0084	0.0022	0.3727
PMT_586_1_1	0.0036	0.0087	0.0035	1e-04	2e-04	0	5e-04	0.0017	0.0018	0.356
PMT_648_1_8	0.0018	0.0112	0.0032	-0.001	0.0071	0.0023	0.0049	0.0017	0.0041	0.3265
Or_g49_1_4	0.0012	0.0159	0.0018	0.0016	0.002	0.0023	0.0011	0.0013	0.0032	0.3085
Control_g203_14_7	0.0087	0	-0.0013	-7e-04	0.0054	0.0011	0.0026	-0.001	0.0017	0.3074
Gr_g8_2_2	0.0011	2e-04	4e-04	9e-04	0.0034	0.0022	0.0014	4e-04	0.0015	0.2583
P450_g68_2_1	0.0013	0	8e-04	0.0011	0.001	0.0037	8e-04	4e-04	0.0011	0.2453
PMT_559_1_1	6e-04	1e-04	3e-04	9e-04	0.0015	1e-04	0.0012	0.0053	0.0016	0.2318
Or_g8_1_13	7e-04	0.0016	6e-04	0.0012	-0.0013	6e-04	0.0018	0.0028	8e-04	0.2248
P450_g29_3_2	0.001	0.0019	0.0014	0.0017	0.0033	0.0013	0.0023	0.002	0.0021	0.2245
P450_g58_2_3	7e-04	1e-04	4e-04	6e-04	8e-04	0.0033	9e-04	8e-04	9e-04	0.2085
Gr_g75_2_1	0.0055	0	-0.0011	6e-04	-4e-04	0.001	0.0015	0.0018	7e-04	0.207
PMT_278_1_1	0.0012	0	0.001	0.0023	5e-04	7e-04	0.0025	0.0012	0.0011	0.1916
PMT_516_1_1	5e-04	0	-1e-04	0.0021	-6e-04	-5e-04	0.0018	-0.001	1e-04	0.1681
Gr_g64_1_1	7e-04	0	-5e-04	4e-04	4e-04	6e-04	-7e-04	-7e-04	0	0.1561
Control_g73_5_2	5e-04	0.005	0.0011	5e-04	6e-04	0.001	6e-04	8e-04	0.0012	0.1556
Control_g161_6_3	4e-04	1e-04	-5e-04	-4e-04	-1e-04	0.001	0.004	0	3e-04	0.1433
PMT_270_1_1	4e-04	-1e-04	8e-04	-3e-04	-0.0012	1e-04	0.0024	0.001	1e-04	0.1418
PMT_319_1_1	3e-04	0	0.0013	6e-04	-2e-04	0	2e-04	2e-04	2e-04	0.1302
PMT_647_1_1	0	0	1e-04	-1e-04	-0.001	1e-04	4e-04	7e-04	-1e-04	0.1254
P450_g47_1_11	7e-04	0.0035	8e-04	5e-04	6e-04	7e-04	6e-04	5e-04	9e-04	0.1253
Or_g26_4_1	0	0	0	0	5e-04	0	0	4e-04	2e-04	0.115
P450_g17_4_1	1e-04	0	4e-04	3e-04	7e-04	0	-0.0014	4e-04	2e-04	0.1129
Control_g14_11_3	7e-04	0.0025	4e-04	5e-04	5e-04	4e-04	7e-04	-7e-04	5e-04	0.0933
Control_g88_1_2	0	0	0	0	0	0	0	0	0	0.0886
P450_g65_4_2	-8e-04	0	2e-04	5e-04	2e-04	1e-04	3e-04	1e-04	2e-04	0.0775
Control_g105_4_2	0	0	1e-04	0	2e-04	0	1e-04	7e-04	2e-04	0.0722
PMT_261_1_1	7e-04	5e-04	2e-04	6e-04	7e-04	3e-04	8e-04	6e-04	6e-04	0.0717
Control_g163_2_2	1e-04	0	0	0	0	0	0	0	0	0.0662
Control_g89_4_2	0	0	3e-04	5e-04	3e-04	1e-04	3e-04	2e-04	3e-04	0.0662
Or_g9_3_1	2e-04	6e-04	3e-04	5e-04	4e-04	2e-04	6e-04	-4e-04	3e-04	0.0633
Control_g162_10_14	0	0	1e-04	0	3e-04	0	0	-2e-04	0	0.0607
Gr_g70_4_1	0	0	0	0	2e-04	0	0	1e-04	1e-04	0.0569
PMT_655_1_6	0	0	5e-04	2e-04	1e-04	2e-04	0	1e-04	1e-04	0.0563
Control_g171_5_1	0	0	0	0	1e-04	0	0	8e-04	2e-04	0.0497
SP_g4_4_1	0	0	0	2e-04	1e-04	0	0	0	1e-04	0.0382
Control_g38_2_3	0	0	0	3e-04	1e-04	0	0	0	1e-04	0.0368
Control_g87_6_1	0	0	-1e-04	1e-04	0	0	1e-04	-3e-04	0	0.0355
Or_g24_1_14	0	0	0	2e-04	0	0	0	0	0	0.0304
Gr_g17_1_9	0	0	0	0	0	0	0	0	0	0.0291
Control_g63_3_1	0	6e-04	1e-04	1e-04	1e-04	1e-04	1e-04	0	1e-04	0.029
PMT_57_1_1	0	0	0	0	0	0	0	0	0	0.0277
PMT_490_1_1	0	0	0	0	0	0	0	0	0	0.0244
PMT_445_1_1	0	0	0	0	0	0	0	0	0	0.0237
P450_g18_4_2	0	0	0	0	0	0	0	0	0	0.0234
Control_g209_6_7	0	0	0	0	0	0	0	0	0	0.0226
P450_g10_1_9	-1e-04	1e-04	1e-04	2e-04	2e-04	0	0	1e-04	1e-04	0.022
Or_g44_2_2	0	0	0	0	0	0	0	0	0	0.0215
P450_g31_2_4	0	0	0	0	0	0	0	0	0	0.0214
Control_g204_13_2	0	0	0	0	0	0	0	0	0	0.0195
Control_g166_8_3	0	0	0	1e-04	0	1e-04	0	0	0	0.0189
Control_g176_1_1	0	0	0	0	0	0	0	0	0	0.0188
Control_g167_11_7	0	0	0	0	0	0	0	0	0	0.0177
Control_g78_3_6	0	0	0	0	0	0	0	0	0	0.0163
Gr_g30_3_1	0	0	0	0	0	0	0	0	0	0.0127
Control_g111_1_1	0	0	0	0	0	0	0	0	0	0.012
Control_g114_2_3	0	0	0	0	0	0	0	0	0	0.0116
Gr_g62_1_18	0	0	0	0	0	0	0	0	0	0.0115
Or_g37_1_15	0	0	0	0	0	0	0	1e-04	0	0.0079
P450_g64_3_4	0	0	0	0	0	0	0	0	0	0.0078
PMT_651_1_8	0	0	0	0	0	0	0	0	0	0.0077
Control_g21_6_2	0	0	0	0	0	0	0	0	0	0.0035
